MS,Thad,Cochran,Thad Cochran,(601)965-4459|(662)236-1018|(228)867-9710,MS,Roger F.,Wicker,Roger F. Wicker,(601)965-4644|(228)871-7017|(662)844-5010|(662)429-1002
MT,Steve,Daines,Steve Daines,(406)245-6822|(406)453-0148|(406)443-3189|(406)587-3446|(406)549-8198|(406)257-3765|(406)482-9010|(406)665-4126,MT,Jon,Tester,Jon Tester,(406)252-0550|(406)586-4450|(406)723-3277|(406)365-2391|(406)452-9585|(406)449-5401|(406)257-3360|(406)728-3003
NC,Richard,Burr,Richard Burr,(828)350-2437|(704)833-0854|(336)631-5125|(910)251-1058|(252)977-9522,NC,Thom,Tillis,Thom Tillis,(704)509-9087|(252)329-0371|(828)693-8750|(336)885-0685|(919)856-4630
ND,Heidi,Heitkamp,Heidi Heitkamp,(701)258-4648|(701)232-8030|(701)225-0974|(701)775-9601|(701)852-0703,ND,John,Hoeven,John Hoeven,(701)250-4618|(701)239-5389|(701)746-8972|(701)838-1361|(701)580-4535
NE,Deb,Fischer,Deb Fischer,(308)234-2361|(402)441-4600|(402)200-8816|(402)391-3411|(308)630-2329,NE,Ben,Sasse,Ben Sasse,(402)476-1400|(308)233-3677|(402)550-8040|(308)632-6032
NH,Maggie,Hassan,Maggie Hassan,(603)622-2204,NH,Jeanne,Shaheen,Jeanne Shaheen,(603)647-7500|(603)542-4872|(603)883-0196|(603)750-3004|(603)752-6300|(603)358-6604
NJ,Cory A.,Booker,Cory A. Booker,(856)338-8922|(973)639-8700,NJ,Robert,Menendez,Robert Menendez,(973)645-3030|(856)757-5353
NM,Martin,Heinrich,Martin Heinrich,(505)346-6601|(505)325-5030|(575)523-6561|(575)622-7113|(505)988-6647,NM,Tom,Udall,Tom Udall,(505)346-6791|(575)234-0366|(575)356-6811|(575)526-5475|(505)988-6511
NV,Dean,Heller,Dean Heller,(702)388-6605|(775)686-5770,NV,Catherine Cortez,Masto,Catherine Cortez Masto,(702)388-5020|(775)686-5750
NY,Kirsten E.,Gillibrand,Kirsten E. Gillibrand,(518)431-0120|(716)854-9725|(631)249-2825|(315)376-6118|(585)263-6250|(315)448-0470|(212)688-6262|(845)875-4585,NY,Chuck,Schumer,Chuck Schumer,(518)431-4070|(631)753-0978|(585)263-5866|(607)772-6792|(212)486-4430|(315)423-5471|(716)846-4111|(914)734-1532
OH,Sherrod,Brown,Sherrod Brown,(216)522-7272|(513)684-1021|(614)469-2083|(440)242-4100,OH,Rob,Portman,Rob Portman,(614)469-6774|(513)684-3265|(216)522-7095|(419)259-3895
OK,James M.,Inhofe,James M. Inhofe,(580)234-5105|(918)426-0933|(405)608-4381|(918)748-5111,OK,James,Lankford,James Lankford,(405)231-4941|(918)581-7651
OR,Jeff,Merkley,Jeff Merkley,(503)326-3386|(541)318-1298|(541)465-6750|(541)608-9102|(541)278-1129|(503)362-8102,OR,Ron,Wyden,Ron Wyden,(503)326-7525|(503)589-4555|(541)431-0229|(541)858-5122|(541)330-9142|(541)962-7691
PA,Robert P.,Casey,Robert P. Casey,(215)405-9660|(570)941-0930|(814)874-5080|(717)231-7540|(412)803-7370|(814)357-0314|(610)782-9470,PA,Patrick J.,Toomey,Patrick J. Toomey,(610)434-1444|(814)453-3010|(717)782-3951|(215)241-1090|(412)803-3501|(570)941-3540|(814)266-5970
RI,Jack,Reed,Jack Reed,(401)943-3100|(401)528-5200,RI,Sheldon,Whitehouse,Sheldon Whitehouse,(401)453-5294
SC,Lindsey,Graham,Lindsey Graham,(864)250-1417|(803)933-0112|(843)669-1505|(843)849-3887|(803)366-2828|(864)646-4090,SC,Tim,Scott,Tim Scott,(803)771-6112|(864)233-5366|(843)727-4525
SD,Mike,Rounds,Mike Rounds,(605)224-1450|(605)343-5035|(605)336-0486|(605)225-0366,SD,John,Thune,John Thune,(605)348-7551|(605)225-8823|(605)334-9596
TN,Lamar,Alexander,Lamar Alexander,(423)752-5337|(731)664-0289|(865)545-4253|(901)544-4224|(615)736-5129|(423)325-6240,TN,Bob,Corker,Bob Corker,(901)683-1910|(615)279-8125|(865)637-4180|(731)664-2294|(423)753-2263|(423)756-2757
TX,John,Cornyn,John Cornyn,(512)469-6034|(903)593-0902|(972)239-1310|(956)423-0162|(713)572-3337|(210)224-7485|(806)472-7533,TX,Ted,Cruz,Ted Cruz,(512)916-5834|(214)599-8749|(713)718-3057|(210)340-2885|(903)593-5130|(956)686-7339
UT,Orrin G.,Hatch,Orrin G. Hatch,(435)586-8435|(801)625-5672|(801)375-7881|(801)524-4380|(435)634-1795,UT,Mike,Lee,Mike Lee,(801)392-9633|(801)524-5933|(435)628-5514
VA,Tim,Kaine,Tim Kaine,(276)525-4790|(804)771-2221|(757)518-1674|(540)682-5693|(703)361-3192,VA,Mark R.,Warner,Mark R. Warner,(276)628-8158|(757)441-3079|(804)775-2314|(703)442-0670|(540)857-2676
VT,Patrick J.,Leahy,Patrick J. Leahy,(802)863-2525|(802)229-0569,VT,Bernie,Sanders,Bernie Sanders,(802)862-0697|(802)748-9269
WA,Maria,Cantwell,Maria Cantwell,(206)220-6400|(509)353-2507|(253)572-2281|(425)303-0114|(360)696-7838|(509)946-8106,WA,Patty,Murray,Patty Murray,(425)259-6515|(360)696-7797|(509)453-7462|(206)553-5545|(509)624-9515|(253)572-3636
WI,Tammy,Baldwin,Tammy Baldwin,(715)832-8424|(920)498-2668|(608)796-0045|(608)264-5338|(414)297-4451|(715)261-2611,WI,Ron,Johnson,Ron Johnson,(414)276-7282|(920)230-7250
WV,Shelley Moore,Capito,Shelley Moore Capito,(304)347-5372|(304)262-9285|(304)292-2310|(304)347-5372,WV,Joe,Manchin,Joe Manchin,(304)342-5855|(304)264-4626|(304)368-0567
WY,John,Barrasso,John Barrasso,(307)261-6413|(307)772-2451|(307)856-6642|(307)362-5012|(307)672-6456,WY,Michael B.,Enzi,Michael B. Enzi,(307)261-6572|(307)772-2477|(307)527-9444|(307)682-6268|(307)739-9507
